ind1990,naics3
100,311
101,311
102,311
110,311
111,311
112,311
120,312
121,311
122,311
130,312
132,315
140,313
141,314
142,313
150,314
151,315
152,314
160,322
161,322
162,322
171,511
172,323
180,325
181,325
182,325
190,325
191,325
192,325
200,324
201,324
210,326
211,326
212,326
220,316
221,316
222,316
229,
230,113
231,321
232,321
241,321
242,337
250,327
251,327
252,327
261,327
262,327
270,331
271,331
272,331
280,331
281,332
282,332
290,332
291,332
292,332
300,332
301,331
310,333
311,333
312,333
320,333
321,333
322,334
331,333
332,333
340,335
341,334
342,334
350,335
351,336
352,336
360,336
361,336
362,336
370,336
371,334
372,339
380,333
381,334
390,339
391,339
392,339
